CITY,V1_COUNT,V1_COUNT,TODO,Add,Del,Form,Direct,LaneNum,LaneConnexity,Status
BEIJING,null,null,null,null,null,null,null,null,null,null
SHANGHAI,null,null,null,null,null,null,null,null,null,null
GUANGZHOU,null,null,null,null,null,null,null,null,null,null
SHENZHEN,null,null,null,null,null,null,null,null,null,null
SHENYANG,null,null,null,null,null,null,null,null,null,null
NANJING,25780,25790,39,16,6,2,2,4,3,6
HANGZHOU,19001,19191,507,335,123,109,4,20,56,29
TIANJIN,31420,31454,143,76,35,36,13,7,14,22
CHENGDU,55766,55764,1446,335,166,671,127,346,158,434
XIAN,22947,23129,471,331,124,54,5,46,56,53
SUZHOU,15946,16160,696,495,215,25,93,24,115,140
ZHENGZHOU,15151,15208,300,109,44,83,2,29,25,80
WUHAN,14413,14581,435,288,57,83,2,12,63,18
DALIAN,18898,18964,317,121,39,120,9,39,40,38
WUXI,18598,18598,0,0,0,0,0,0,0,0
NINGBO,20914,20966,232,155,72,36,1,14,31,18
XIANGGANG,null,null,null,null,null,null,null,null,null,null
CHANGCHUN,31625,31650,290,134,22,76,11,34,95,54
CHANGSHA,12263,12327,272,116,49,120,13,6,9,2
WENZHOU,18784,18817,181,103,60,7,1,58,30,60
JINAN,9205,9205,0,0,0,0,0,0,0,0
TAIYUAN,5255,5269,53,31,8,3,8,8,20,15
HEFEI,8532,8534,3,3,1,0,0,0,0,0
DONGGUAN,9240,9263,190,66,24,64,11,47,28,53
XIAMEN,6980,6980,32,1,0,26,0,1,0,0
HAERBIN,9763,9780,100,39,10,6,7,30,27,36
KUNMING,10473,10549,290,164,68,51,0,43,93,37
CHONGQING,4997,5000,80,40,33,21,1,5,11,13
QINGDAO,8373,8375,117,28,5,1,10,83,28,92
TANGSHAN,6219,6219,0,0,0,0,0,0,0,0
FOSHAN,8777,8777,0,0,0,0,0,0,0,0
FUZHOU,5827,5866,144,75,33,50,8,10,1,9
AOMEN,null,null,null,null,null,null,null,null,null,null
NANNING,7307,7327,230,100,34,77,7,17,41,16
HUHEHAOTE,5487,5487,80,20,14,2,4,9,14,50
LANZHOU,7614,7717,410,211,84,52,20,87,50,129
YANGZHOU,10586,10716,279,168,37,81,9,11,15,6
SHIJIAZHUANG,4149,4161,66,25,8,35,2,2,7,2
QUANZHOU,8096,8100,24,6,0,14,2,3,0,5
YANTAI,5444,5470,48,41,12,6,1,2,5,0
NANCHANG,7962,8005,447,135,69,177,52,60,29,70
WULUMUQI,9574,9588,83,46,27,4,26,0,14,26
GUIYANG,8027,8028,54,13,10,33,1,7,2,1
BAODING,17504,17508,22,10,6,4,2,3,2,5
HAIKOU,9527,9580,132,72,19,49,3,1,5,5
SHAOXING,9906,9933,102,55,25,11,3,14,17,24
TAIZHOU,8127,8149,76,51,27,11,0,0,9,5
SANYA,3674,3733,281,118,39,135,13,14,33,29
LIUZHOU,6029,6099,162,116,33,21,4,10,30,14
QINHUANGDAO,3564,3568,54,7,3,3,0,41,3,41
XINING,7367,7450,286,125,37,33,0,40,12,114
ZHUHAI,9685,9695,47,20,10,20,2,4,0,1
WEIFANG,5298,5305,17,12,3,4,0,2,1,0
XUZHOU,3620,3667,94,63,16,29,0,2,1,0
YANCHENG,6839,6842,10,6,1,4,0,0,3,0
NANTONG,6355,6356,16,2,1,11,2,1,0,3
JINHUA,8761,8761,0,0,0,0,0,0,0,0
CHANGZHOU,6410,6430,173,67,45,83,8,16,10,2
HUIZHOU,5673,5707,96,50,9,36,6,8,4,0
ZHONGSHAN,8777,8862,330,163,57,116,6,25,44,12
YINCHUAN,2962,2972,24,18,8,6,0,0,5,0
WUHU,4025,4115,164,120,25,24,0,13,19,14
