CITY,POI,POI_ADD,POI_DEL,POI_INVARI
BEIJING,2242,153,21,2089
SHANGHAI,2932,74,35,2858
GUANGZHOU,739,17,3,722
SHENZHEN,1136,24,3,1112
SHENYANG,113,2,null,111
NANJING,129,8,7,121
HANGZHOU,76,null,1,76
TIANJIN,152,7,4,145
CHENGDU,263,7,9,256
XIAN,106,3,2,103
SUZHOU,50,2,3,48
ZHENGZHOU,64,6,2,58
WUHAN,84,18,null,66
DALIAN,58,null,null,58
WUXI,69,5,null,64
NINGBO,78,null,null,78
HK,null,null,null,null
CHANGCHUN,35,1,null,34
CHANGSHA,76,2,3,74
WENZHOU,62,null,null,62
JINAN,29,null,null,29
TAIYUAN,12,null,null,12
HEFEI,34,null,1,34
DONGGUAN,39,1,null,38
XIAMEN,14,null,null,14
HAERBIN,7,null,null,7
KUNMING,45,1,null,44
CHONGQING,29,null,null,29
QINGDAO,38,2,null,36
TANGSHAN,26,null,null,26
FOSHAN,46,2,6,88
FUZHOU,21,null,null,21
MC,null,null,null,null
MCZH,null,null,null,null
NANNING,19,1,null,18
HUHEHAOTE,8,null,null,8
LANZHOU,14,null,null,14
YANGZHOU,24,null,null,24
SHIJIAZHUANG,42,null,null,42
QUANZHOU,16,null,null,16
YANTAI,17,1,1,16
NANCHANG,29,null,null,29
WULUMUQI,11,null,null,11
GUIYANG,35,null,null,35
BAODING,75,1,null,74
HAIKOU,38,2,5,36
SHAOXING,18,null,null,18
TAIZHOU,43,1,1,42
SANYA,24,null,null,24
LIUZHOU,42,null,null,42
QINHUANGDAO,3,null,null,3
XINING,12,null,null,12
ZHUHAI,26,null,null,26
WEIFANG,30,null,null,30
XUZHOU,22,null,null,22
YANCHENG,32,null,null,32
NANTONG,19,null,null,19
JINHUA,20,null,null,20
CHANGZHOU,28,null,3,28
HUIZHOU,34,null,null,34
ZHONGSHAN,42,null,null,42
YINCHUAN,6,null,null,6
WUHU,20,null,null,20
